region_name	group	tsnr_mean	dataset	subject	session	task	run
7Networks_LH_DorsAttn_Post_19	cortex_DorsAttn	60.2046350210598	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_20	cortex_DorsAttn	55.73279679758835	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_21	cortex_DorsAttn	58.041379523801375	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_22	cortex_DorsAttn	62.611628261204544	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_23	cortex_DorsAttn	61.642037204626575	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_24	cortex_DorsAttn	56.71925834171008	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_25	cortex_DorsAttn	54.38280295929299	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_26	cortex_DorsAttn	57.362396217461495	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_27	cortex_DorsAttn	49.5054999790698	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_28	cortex_DorsAttn	52.795348805887706	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_29	cortex_DorsAttn	52.749307380199866	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_30	cortex_DorsAttn	47.99199083790136	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_31	cortex_DorsAttn	54.82146647814088	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_32	cortex_DorsAttn	50.9097227110233	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_33	cortex_DorsAttn	48.97642795886144	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_34	cortex_DorsAttn	49.99267234678005	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_35	cortex_DorsAttn	53.95184868270166	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_36	cortex_DorsAttn	59.02915790569292	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_37	cortex_DorsAttn	52.63043773619479	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_38	cortex_DorsAttn	57.663416743446405	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_39	cortex_DorsAttn	56.3683586212251	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_40	cortex_DorsAttn	56.843292154281684	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_41	cortex_DorsAttn	55.79050065929339	floc	01	001	fLoc	1
7Networks_LH_DorsAttn_Post_42	cortex_DorsAttn	62.76820237856472	floc	01	001	fLoc	1
